City,L3M_Month,LY_Month,Plan_Month,Gr_Plan_Month,CMTD_Month,Ach_Month,L3M_MTD,LY_MTD,Plan_MTD,Gr_Plan_MTD,LYMTD,CMTD_MTD,Gr_MTD,Ach_MTD,WK_Bal,WK_DRR,Rank_
Jhansi,409,396,580,18.98,253,62.17,318,306,556,21.15,332,326,0.84,73.9,113,57,10
Jodhpur,384,399,569,16.99,239,59.77,301,334,535,14.43,322,298,-7.45,69.42,125,77,10
Kakinada,414,402,588,20.04,251,63.12,329,316,563,21.57,344,341,-0.87,74.9,107,60,6
Kalyan,422,399,609,22.88,265,66.1,344,384,518,18.76,349,368,5.45,78.2,114,66,3
Kanpur,432,389,628,23.1,298,64.3,405,310,538,18.76,318,356,-7.14,75.22,98,54,7
Karimnagar,457,444,620,22.12,279,67.88,361,346,593,23.77,362,359,-0.83,79.32,114,70,7
Karnal,437,422,610,20.76,266,64.77,347,332,585,22.42,348,352,1.15,77.44,111,64,5
Kolhapur,443,431,612,21.04,263,65.78,340,327,590,21.96,351,343,-2.28,77.04,114,50,6
Kolkata,544,379,582,22.39,246,72.51,388,334,574,24.48,399,490,4.55,81.63,29,82,2
Kollam,408,395,578,18.56,245,60.87,318,301,556,22.76,334,329,1.38,74.63,102,52,7
Kota,390,368,577,20.89,243,61.22,328,310,549,20.37,328,309,-5.78,71.1,116,52,6
Lucknow,610,554,785,19.45,310,72.5,378,342,612,22.15,408,395,5.12,82.67,120,67,4
Ludhiana,605,589,771,18.9,342,79.0,462,528,611,23.58,439,468,6.77,86.9,97,60,2
Madurai,476,489,655,22.71,297,70.11,410,379,627,24.9,385,399,3.64,82.35,117,67,7
Mathura,402,390,575,19.72,252,61.21,317,302,552,21.81,335,337,0.58,74.12,107,62,6
Meerut,537,508,731,24.4,321,79.3,460,412,655,27.92,389,404,3.86,82.71,105,74,6
Moradabad,434,420,605,19.12,258,62.91,346,327,573,22.34,351,348,-1.72,76.45,108,66,5
Mumbai,537,697,781,24.51,217,86.3,342,487,484,25.16,321,304,-3.27,76.94,52,93,6
Mysuru,539,524,730,24.42,311,73.58,452,443,680,25.9,392,409,4.26,84.87,109,58,2
Nagpur,513,478,709,16.55,289,58.9,388,429,500,21.37,360,312,3.45,69.84,112,61,6
Nalgonda,447,435,620,21.46,274,67.54,362,348,590,23.33,358,365,1.95,79.91,110,62,2
Nanded,458,447,625,19.65,275,67.45,359,340,605,23.25,364,358,-1.66,78.95,111,61,1
Nashik,391,357,577,26.4,239,57.9,312,289,564,19.05,330,308,3.21,70.55,95,59,10
Navi Mumbai,462,438,650,22.35,276,69.22,396,374,598,23.17,356,379,6.46,80.58,107,66,4
Nellore,440,428,610,22.03,270,66.3,351,336,588,20.22,359,362,0.84,78.1,105,54,4
Nizamabad,399,385,570,18.84,246,60.94,310,298,542,20.65,322,319,-0.93,73.25,102,51,9
Noida,475,467,644,20.13,281,67.45,388,376,612,22.51,392,387,-1.28,79.81,115,71,4
Panipat,451,437,625,21.67,269,66.84,359,342,600,24.72,375,360,-4.0,79.12,112,58,4
Patna,357,398,562,27.5,230,58.22,310,351,412,17.34,330,297,-5.33,68.25,140,83,8
Pune,456,481,628,21.36,321,65.44,412,492,608,14.82,305,278,11.94,57.38,125,65,10
Raichur,426,412,600,21.53,268,65.02,343,330,580,23.77,347,350,0.87,76.75,108,67,3
Raipur,462,448,650,22.15,276,68.12,396,354,610,21.79,366,379,3.55,80.12,105,64,4
Rajkot,389,342,567,15.93,241,57.7,322,305,534,19.65,298,265,-7.92,61.34,130,61,8
Ranchi,410,396,594,24.66,252,66.8,342,354,562,22.5,368,372,1.09,79.45,118,73,3
Rewa,405,390,572,18.62,249,60.01,315,298,545,22.14,331,330,-0.3,72.89,104,58,7
Rourkela,443,430,615,21.63,270,66.89,356,342,585,22.46,362,354,-1.67,78.43,110,56,3
Sagar,418,403,590,18.94,258,62.5,329,314,565,23.45,342,348,1.69,74.98,109,63,10
Satna,419,407,590,20.17,256,63.12,330,316,568,21.92,341,345,1.15,75.42,109,59,6
Shivamogga,401,388,570,18.41,245,60.84,314,299,549,20.63,329,328,-0.32,73.4,104,55,7
Silchar,409,397,582,19.35,251,61.77,325,311,560,22.36,336,339,0.89,74.7,106,60,8
Siliguri,456,444,630,22.78,283,68.43,371,357,600,21.92,368,370,0.54,80.88,115,65,2
Solapur,423,407,609,17.13,265,63.03,349,346,570,21.05,340,359,5.58,77.5,111,53,8
Srinagar,444,466,629,13.87,259,68.55,351,330,615,14.73,366,377,2.91,80.67,111,45,5
Surat,493,681,759,20.18,295,77.68,371,403,507,14.11,333,497,-5.82,74.77,160,51,3
Thane,502,489,688,23.55,310,70.68,440,423,655,21.27,406,398,-1.97,80.12,106,69,5
Tinsukia,431,418,602,21.55,268,65.21,344,330,578,23.45,349,353,1.15,77.12,110,63,10
Tiruchirappalli,468,455,643,22.35,284,66.44,369,362,600,18.69,357,374,4.76,78.95,112,56,1
Tirupati,474,460,630,22.92,288,68.85,377,362,608,23.94,371,378,1.89,80.18,116,66,3
Udaipur,411,403,586,18.44,255,65.12,315,301,564,20.02,339,345,1.77,74.83,111,62,7
Ujjain,397,386,560,19.84,243,61.14,312,300,539,23.01,328,327,-0.31,72.58,101,62,7
Vadodara,523,508,704,19.88,317,68.5,489,401,432,22.75,375,363,-0.56,83.1,125,68,1
Varanasi,510,489,701,17.99,303,70.9,389,420,667,24.66,441,392,-2.1,81.41,102,53,2
Vasai,405,388,582,16.14,247,63.4,312,274,552,25.4,327,338,3.36,77.98,128,79,4
Vijayawada,468,450,643,21.13,284,67.25,369,350,600,19.87,362,374,3.31,79.88,108,57,1
Warangal,468,453,638,23.26,291,69.91,380,366,610,24.35,376,381,1.33,81.35,113,67,1
